temps,prevision,borne_basse_95,borne_haute_95
301,149.11183304342947,147.1143057387154,151.10936034814355
302,150.68990360429933,146.13938196451005,155.2404252440886
303,151.85035772980436,145.91003869274658,157.79067676686213
304,152.5200971321939,146.16402200918984,158.876172255198
305,152.8374650096582,146.45999167601929,159.2149383432971
306,153.01387528953887,146.60056305544586,159.4271875236319
307,153.2255575656575,146.71504081274492,159.7360743185701
308,153.56297831992543,146.98282661290705,160.14313002694382
309,154.0328183180429,147.43431269955605,160.63132393652975
310,154.59008473870344,147.99159370851507,161.1885757688918
311,155.17605845676263,148.57217414195037,161.7799427715749
312,155.74565028813396,149.13230216435866,162.35899841190925
313,156.27843180146775,149.65894798766956,162.89791561526593
314,156.7760036939024,150.1548387100639,163.3971686777409
315,157.2523126252412,150.63116469995302,163.87346055052936
316,157.72340383013855,151.1022101763907,164.3445974838864
317,158.2006278080149,151.57928123375024,164.82197438227956
318,158.68838500516102,152.0670440916758,165.30972591864625
319,159.18536869436957,152.56410480513762,165.80663258360153
320,159.6874031505319,153.066107598518,166.30869870254583
