date,prevision,borne_basse_95,borne_haute_95,observation
1964-01-01,34.22832311805226,-0.9391667629505278,69.39581299905504,25.65
1964-02-01,25.202956737661854,-9.964533143340933,60.370446618664644,17.53
1964-03-01,33.64661619591363,-1.5208736850891569,68.81410607691642,1.78
1964-04-01,21.041884919762737,-14.12560496124005,56.209374800765524,3.3
1964-05-01,16.606149783585764,-18.561340097417023,51.77363966458855,16.76
1964-06-01,13.086473958253308,-22.08101592274948,48.253963839256095,11.43
1964-07-01,12.050065862509017,-23.11742401849377,47.2175557435118,16.51
1964-08-01,7.180392389854088,-27.9870974911487,42.34788227085687,8.38
1964-09-01,12.300719793341539,-22.866770087661248,47.46820967434432,2.79
1964-10-01,51.0893568608372,15.921866979834412,86.25684674183998,67.82
1964-11-01,52.57568555361796,17.40819567261517,87.74317543462075,65.53
1964-12-01,56.26917020905282,21.10168032805003,91.4366600900556,86.11
1965-01-01,33.41500017245108,-4.271009526057824,71.10100987095998,3.3
1965-02-01,22.979927148453363,-14.706082550055541,60.66593684696227,11.94
1965-03-01,32.7208569165733,-4.965152781935608,70.40686661508221,16.0
1965-04-01,20.814570556150265,-16.87143914235864,58.50058025465917,21.59
1965-05-01,20.98638284191128,-16.699626856597625,58.672392540420184,14.48
1965-06-01,13.897138953398478,-23.788870745110426,51.58314865190738,7.87
1965-07-01,13.497941905467425,-24.18806779304148,51.183951603976325,14.22
1965-08-01,9.834468228103148,-27.851541470405756,47.52047792661205,7.11
1965-09-01,12.839389858030348,-24.846619840478557,50.525399556539256,28.45
1965-10-01,40.66082128113586,2.9748115826269554,78.34683097964476,85.85
1965-11-01,63.893638591705596,26.20762889319669,101.5796482902145,78.74
1965-12-01,49.803463092044495,12.117453393535591,87.4894727905534,62.23
1966-01-01,32.13873000042208,-9.726916156245267,74.00437615708942,6.35
1966-02-01,24.778714256360672,-17.086931900306674,66.64436041302801,10.16
1966-03-01,31.65604799243328,-10.209598164234066,73.52169414910063,74.42
1966-04-01,22.40447299770704,-19.461173158960307,64.27011915437438,15.24
1966-05-01,20.828782054059346,-21.036864102608,62.69442821072669,13.72
1966-06-01,16.795399348796966,-25.07024680787038,58.661045505464315,3.05
1966-07-01,16.258017130313764,-25.60762902635358,58.12366328698111,4.83
1966-08-01,13.044454815554783,-28.821191341112563,54.910100972222125,0.76
1966-09-01,16.09713874750181,-25.768507409165537,57.962784904169155,34.29
1966-10-01,41.17066903095754,-0.694977125709805,83.0363151876249,64.01
1966-11-01,50.66949539724533,8.803849240577982,92.53514155391267,77.98
1966-12-01,46.60945927325825,4.743813116590907,88.4751054299256,53.59
